Timestamp,Open,High,Low,Close,Volume,BarCount
2023-12-22,370.91,372.4,369.94,371.8,80275,45904
2023-12-26,372.22,374.14,370.73,371.88,70197,37868
2023-12-27,370.93,372.28,370.04,371.29,74390,41833
2023-12-28,372.53,373.67,371.38,372.49,79297,45350
2023-12-29,373.21,374.36,370.71,373.25,95666,54372
2024-01-02,370.92,373.11,364.05,368.12,121974,74158
2024-01-03,366.25,370.49,365.77,367.85,101028,59383
2024-01-04,367.92,370.33,364.44,365.21,103299,56991
2024-01-05,366.23,369.3,363.78,365.02,102016,55271
2024-01-08,366.56,372.42,366.27,371.91,114935,62840
2024-01-09,369.27,373.2,368.43,373.0,104076,60835
2024-01-10,373.7,381.32,373.53,379.93,137739,74876
2024-01-11,383.04,387.78,377.56,381.78,157273,86699
2024-01-12,382.59,385.8,381.79,385.59,113878,59696
2024-01-16,390.8,391.11,384.74,387.37,141153,79489
2024-01-17,384.87,387.21,381.95,386.58,107058,64474
2024-01-18,388.8,391.07,387.22,390.95,113939,67337
2024-01-19,392.82,395.71,390.58,395.71,150267,76101
2024-01-22,396.94,397.65,390.67,393.57,125929,75105
2024-01-23,392.75,396.42,391.01,395.94,90666,53287
2024-01-24,398.63,402.62,397.48,399.57,123507,70714
2024-01-25,401.32,403.99,399.53,401.86,117032,68190
2024-01-26,401.36,403.16,399.44,400.93,89913,53510
2024-01-29,403.01,406.94,401.33,406.68,120420,67058
2024-01-30,409.2,409.98,403.43,405.56,158314,88356
2024-01-31,403.94,412.24,394.26,394.63,280645,153249
2024-02-01,399.0,404.97,398.82,400.78,180589,93756
2024-02-02,400.93,409.59,400.56,408.17,156061,88520
2024-02-05,406.45,408.11,400.99,402.64,124216,69826
2024-02-06,402.86,404.94,399.92,402.48,105186,57025
2024-02-07,404.42,411.22,404.38,410.98,106045,58536
2024-02-08,411.02,412.48,409.47,411.04,84524,47448
2024-02-09,412.36,417.7,412.01,417.43,108949,63219
2024-02-12,417.34,417.62,411.67,412.18,99875,58672
