timestamp,open,high,low,close,volume,barcount
2024-01-09,465.91,468.92,465.38,467.88,445566,231216
2024-01-10,468.16,471.4,467.87,470.53,457016,252732
2024-01-11,471.54,472.07,466.28,470.32,552538,302933
2024-01-12,471.79,472.54,469.21,470.64,433374,243216
2024-01-16,469.23,470.57,467.07,468.92,585420,330906
2024-01-17,465.85,466.8,463.92,466.31,512846,275112
2024-01-18,468.0,471.02,466.44,470.46,587226,310465
2024-01-19,471.6,476.61,470.9,476.32,636322,323934
2024-01-22,477.88,479.08,476.67,477.33,511945,300027
2024-01-23,477.89,478.97,476.78,478.72,339692,194863
2024-01-24,481.61,482.58,478.87,479.24,595367,344814
2024-01-25,481.39,482.13,479.24,481.85,521828,304406
2024-01-26,481.42,482.93,480.38,481.24,462967,271316
2024-01-29,481.55,485.2,481.0,485.05,393881,225445
2024-01-30,484.35,485.39,483.9,484.67,403357,231298
2024-01-31,482.45,482.9,476.77,476.77,830931,457272
2024-02-01,478.49,483.03,477.67,483.01,629960,364525
2024-02-02,483.46,489.77,483.1,488.09,660149,369156
2024-02-05,487.46,487.91,484.02,486.31,490662,289078
2024-02-06,487.27,488.06,485.82,487.72,404865,251548
2024-02-07,490.0,492.22,489.09,491.79,482224,283979
2024-02-08,491.79,492.39,490.96,492.01,362854,216029
2024-02-09,492.54,495.3,492.18,494.85,433612,252833
2024-02-12,494.82,497.12,493.91,494.64,372429,214986
2024-02-13,488.28,489.57,484.5,487.82,761928,420589
2024-02-14,490.46,492.75,488.14,492.26,507984,289153
2024-02-15,492.98,495.84,492.47,495.65,446181,262993
2024-02-16,495.33,496.5,492.43,493.18,470527,278120
2024-02-20,491.42,492.1,488.19,490.47,525468,304268
2024-02-21,489.17,491.07,487.31,490.91,391292,245177
2024-02-22,497.62,502.05,496.65,501.07,572000,326734
2024-02-23,502.79,503.67,500.68,501.42,424966,237285
2024-02-26,501.87,502.31,499.45,499.58,351052,199358
2024-02-27,500.27,500.74,498.36,500.51,326750,181657
2024-02-28,498.93,500.44,498.57,499.85,361378,203754
2024-02-29,501.64,503.29,498.95,501.65,520046,273734
2024-03-01,502.53,506.79,502.12,506.36,475567,270604
2024-03-04,505.56,507.69,505.52,505.81,351535,210270
2024-03-05,503.78,504.23,498.52,500.76,521615,295718
2024-03-06,504.08,505.59,501.98,503.3,501832,306621
2024-03-07,506.61,509.36,505.69,508.29,420876,261554
2024-03-08,508.93,511.67,504.66,505.24,619734,376296
2024-03-11,504.02,505.4,502.06,504.81,411664,253133
2024-03-12,506.95,510.83,504.39,510.24,505995,290674
2024-03-13,510.56,510.74,507.98,509.44,370042,225286
2024-03-14,510.43,510.59,505.33,508.43,678290,388974
2024-03-15,505.32,506.79,503.48,504.94,566086,346686
2024-03-18,509.08,510.53,507.52,507.94,504011,286423
2024-03-19,507.24,511.05,506.22,510.76,410701,244992
2024-03-20,510.82,515.62,510.14,515.49,481003,278784
2024-03-21,518.34,519.08,516.9,517.19,406333,237364
2024-03-22,517.08,517.6,515.97,516.21,408246,230643
2024-03-25,514.8,515.95,514.62,514.78,317466,193323
2024-03-26,516.23,516.58,513.43,513.83,367084,206559
2024-03-27,516.7,518.18,514.5,518.15,466146,269885
2024-03-28,518.2,519.58,517.76,518.05,454567,255633
2024-04-01,518.8,519.35,515.97,517.15,330801,177873
2024-04-02,513.28,514.0,511.52,513.86,481250,277685
2024-04-03,512.75,515.95,512.69,514.43,414238,241797
2024-04-04,518.51,518.84,507.83,508.15,695180,406738
2024-04-05,509.49,515.45,509.08,513.46,544462,337251
2024-04-08,514.2,515.19,512.92,513.74,340075,209065
2024-04-09,515.51,515.75,509.41,514.34,443734,259452
2024-04-10,508.55,511.21,507.18,509.19,588022,358990
2024-04-11,510.73,514.5,507.17,513.03,499003,283330
2024-04-12,509.46,510.87,504.2,505.95,657064,372314
2024-04-15,510.17,510.36,498.75,499.61,665808,395972
2024-04-16,500.09,501.64,497.39,498.7,562022,322694
2024-04-17,501.19,501.36,494.33,495.75,563054,334904
2024-04-18,497.16,499.29,493.78,494.73,503891,289729
2024-04-19,494.65,495.66,489.12,490.41,641229,378582
2024-04-22,493.06,497.56,490.68,494.92,497353,291722
2024-04-23,496.98,501.23,496.41,500.8,441560,257427
2024-04-24,501.7,502.5,498.3,500.56,382325,223105
2024-04-25,494.4,499.43,492.72,498.66,473422,288542
2024-04-26,501.5,504.99,500.85,503.38,393256,230559
2024-04-29,505.19,505.85,502.38,505.17,320058,189106
2024-04-30,503.66,504.67,497.16,497.16,483204,268036
2024-05-01,496.57,503.31,495.06,495.55,596266,347353
2024-05-02,499.28,501.04,494.76,500.18,467170,259355
2024-05-03,506.23,507.63,503.68,506.38,495248,278600
2024-05-06,508.82,511.65,508.37,511.61,319700,181759
2024-05-07,512.58,513.59,511.49,512.18,358861,191578
2024-05-08,510.31,512.77,510.2,512.23,284051,159060
2024-05-09,512.41,515.22,511.74,515.18,319897,180836
2024-05-10,516.8,517.63,514.6,515.84,339978,187477
2024-05-13,517.55,517.65,514.75,515.91,259363,151878
2024-05-14,516.11,518.8,515.56,518.28,348740,194660
2024-05-15,520.79,524.99,520.14,524.7,402483,228206
